Region	Plot_ID	ID	Case	Seedling	GPS_N	GPS_E	Elev	Bias	shape	Sub	Sub_type	Dist_surf	Wide	Decay	Depth1	Depth2	M_cv	M_th1	M_th2	M_th	L_cv	L_th1	L_th2	L_th	Herb_cv	Herb_ht	Herb_htmax	Sd_cv	Sd_ht	Sd_htmax	Sp_cv	Sp_ht	Sp_htmax	Mother	Canopy_cv
WDY	WDY02A4	8	0		24.58548	121.40384	1889	5	20x125	living_root	Living	25			2	5	90	6	13	9.5	10	6	5	5.5	1	5	10	+	6	8	2b	130	170	1	60
WDY	WDY02A5	8	0		24.58552	121.40390	1908	5	50x50	living_root	Living	50			1	1	70	2	1.5	1.75	10	5	3.5	4.25	2m	7	15	1	20	30	2m	80	110	2	50
WDY	WDY03	9	1		24.58577	121.40413	2077	3	25x100	log	CWD_nonD	70		2	1	1	55	1	3	2	1	1	1	1	+	10	10	r	6	10	0	NA	NA	1	60
WDY	WDY03A1	9	0		24.58577	121.40411	2050	3	50x50	log	CWD_nonD	50		2	1	1.5	30	4	3	3.5	5	2	1	1.5	2a	50	60	1	6	6	2m	80	110	2	60
WDY	WDY03A2	9	0		24.58575	121.40415	2031	4	50x50	soil	Soil	0			15	40	20	15	20	17.5	20	3	5	4	2m	10	15	3	20	30	1	50	70	1	50
WDY	WDY03A3	9	0		24.58574	121.40423	2008	4	40x62.5	log	CWD_nonD	45		2	1.5	1	85	5	6	5.5	10	1	3	2	+	3	5	0	NA	NA	2m	150	200	1	75
WDY	WDY03A4	9	0		24.58570	121.40316	1999	4	50x50	living_root	Mat				5	7	85	5	7	6	10	7	4	5.5	1	4	6	0	NA	NA	1	60	70	1	75
WDY	WDY03A5	9	0		24.58573	121.40408	1985	4	50x50	soil	Soil	0			11	17	50	2	6	4	30	5	5	5	+	5	7	1	10	20	2a	60	100	2	75
WDY	WDY04	10	1		24.58563	121.40467	1997	4	50x50	log	CWD_nonD	170		2	0.5	0.5	70	4	2	3	5	0.5	1	0.75	+	4	5	1	4	8	2m	100	100	1	45
WDY	WDY04A1	10	0		24.58555	121.40474	1978	3	50x50	soil	Soil	0			14	15	80	8	13	10.5	15	7	7	7	r	5	5	2a	30	50	2b	80	100	2	40
WDY	WDY04A2	10	0		24.58563	121.40467	1975	4	50x50	soil	Soil	0			40	12	20	4	7	5.5	40	5	5	5	1	3	5	2a	15	30	2a	80	150	2	75
WDY	WDY04A3	10	0		24.58551	121.40472	1979	3	50x50	living_root	Living	40		0	0	0	98	12	15	13.5	1	5	5	5	2m	8	15	2a	20	50	2a	70	100	1	60
WDY	WDY04A4	10	0		24.58552	121.40462	1982	4	50x50	log	CWD_nonD	60		2	1	1	5	6	6	6	40	5	5	5	3	7	15	2a	25	30	2a	50	80	1	60
WDY	WDY04A5	10	0		24.58555	121.40456	1974	3	50x50	soil	Soil	0			20	15	10	7	6	6.5	40	5	5	5	+	6	10	1	30	50	2b	80	140	2	65
WDY	WDY05	11	1		24.58525	121.40491	2001	4	50x50	stump	CWD_nonD	50		2	0.5	0.5	80	2	2	2	20	2	2	2	2a	4	8	+	7	12	0	NA	NA	2	75
WDY	WDY05A1	11	0		24.58520	121.40497	1961	4	50x50	soil	Soil	0			12	30	60	4	6	5	20	2	2	2	1	7	10	2m	30	50	2a	70	90	1	80
WDY	WDY05A2	11	0		24.58516	121.40491	1950	5	50x50	rock	Mat	0			7	9	15	1	2	1.5	15	2	4	3	2m	8	20	r	30	30	0	NA	NA	1	75
WDY	WDY05A3	11	0		24.58514	121.40488		3	50x50	rock	Mat	55			10	8	80	10	8	9	15	7	7	7	3	30	50	0	NA	NA	2a	60	150	1	60
WDY	WDY05A4	11	0		24.58532	121.40491	1960	3	40x62.5	log	CWD_halfD	90		2	10	7	55	5	2	3.5	30	2	5	3.5	2a	5	8	2a	40	50	0	NA	NA	1	75
WDY	WDY05A5	11	0		24.58528	121.40497	1946	3	50x50	soil	Soil	0			20	30	85	10	10	10	10	5	5	5	+	5	6	2m	25	30	1	70	80	1	90
WDY	WDY06	12	1		24.58561	121.40493	1953	3	50x50	log	CWD_halfD	240		3	8	10	25	5	2	3.5	15	2	2	2	2m	4	16	1	30	40	1	70	90	1	35
WDY	WDY06A1	12	0		24.58543	121.40494	1946	4	40x62.5	stump	CWD_nonD	30		2	1	1	90	10	13	11.5	5	6	5	5.5	2m	20	30	r	10	10	2s	80	130	1	70
WDY	WDY06A2	12	0		24.58553	121.40482	1939	4	40x62.5	living_root	Living	90			5	5	90	10	10	10	5	5	4	4.5	1	7	10	2m	15	25	2a	80	100	2	70
WDY	WDY06A3	12	0		24.58553	121.40477	1946	3	50x50	soil	Soil	0			28	8	60	10	10	10	20	5	5	5	1	10	15	1	20	30	2a	80	130	1	80
WDY	WDY06A4	12	0		24.58557	121.40473	1945	3	50x50	soil	Soil	0			25	15	90	17	15	16	5	10	10	10	1	15	20	2m	15	25	3	80	130	1	60
WDY	WDY06A5	12	0		24.58558	121.40482	1950	3	50x50	soil	Soil	0			20	28	70	10	20	15	25	1	1	1	1	8	14	+	13	30	2m	80	110	1	65
TMU	TMU01	13	1		24.70161	121.44498	1982	5	25x100	log	CWD_halfD	30		4	8	9	95	2	3	2.5	5	3	1	2	1	30	40	+	3	5	0	NA	NA	1	85
TMU	TMU01A1	13	0				2001	5	25x100	log	CWD_halfD	10		3	2	4	90	1	1	1	5	1	2	1.5	0	NA	NA	r	1.5	3	2a	40	130	1	85
TMU	TMU01A2	13	0				1996	6	50x50	soil	Soil	0			40	40	2	4	3	3.5	90	3.5	4	3.75	1	15	20	+	20	25	0	NA	NA	2	85
TMU	TMU01A3	13	0				2007	5	25x100	log	CWD_nonD			2			0	NA	NA	0	1	1	1	1	+	20	20	r	1	1	2a	100	130	1	85
TMU	TMU01A4	13	0				2035	4	50x50	soil	Soil	0			40	40	2	1	2	1.5	85	3	2.5	2.75	2a	20	25	r	1	4	2m	100	130	1	80
TMU	TMU02	14	1		24.70091	121.44529	2065	4	50x50	log	CWD_D	60	100	5	10	10	60	0.5	2	1.25	10	1	1.5	1.25	2a	8	20	1	3	6	0	NA	NA	2	75
TMU	TMU02A1	14	0					4	50x50	soil	Soil	0			40	9	3	1	2	1.5	60	5	6	5.5	2b	20	30	r	1	1	3	80	160	1	70
TMU	TMU02A2	14	0					5	50x50	soil	Soil	0			13	15	35	4	3	3.5	60	4	3	3.5	2m	15	30	+	1	2	2b	60	80	2	65
TMU	TMU02A3	14	0					6	50x50	soil	Soil	0			40	40	1	1	1	1	75	4	3	3.5	+	5	10	0	NA	NA	2a	80	100	1	85
TMU	TMU02A4	14	0					5	50x50	soil	Soil	0			40	40	10	4	3	3.5	45	5	6	5.5	2a	8	15	2m	20	40	2m	80	100	1	85
TMU	TMU03	15	1		24.70066	121.44523		4	40x62.5	log	CWD_D	25	40	5	8	15	65	1	1	1	10	1	3	2	0	NA	NA	1	2	5	0	NA	NA	1	90
TMU	TMU03A1	15	0					4	25x100	branch	CWD_halfD	20	25	5	4	6	90	5	5	5	5	3	2	2.5	2a	15	20	1	15	25	0	NA	NA	1	90
TMU	TMU03A2	15	0					4	50x50	soil	Soil	0			23	27	5	0.5	1	0.75	90	4	4	4	2a	10	20	1	20	25	2a	150	180	1	85
TMU	TMU03A3	15	0					4	50x50	soil	Soil	0			28	40	5	4	4	4	90	4	5	4.5	2b	10	30	+	8	8	2a	60	80	2	70
TMU	TMU03A4	15	0					5	50x50	soil	Soil	0			19	40	1	1	1	1	45	3.5	4	3.75	2m	15	25	2m	13	30	2a	80	130	1	60
TMU	TMU04	16	1		24.70087	121.44487		5	40x62.5	stump	CWD_D	100	100	5	40	40	80	3.5	2	2.75	5	1	1.5	1.25	0	NA	NA	+	3	6	0	NA	NA	1	90
TMU	TMU04A1	16	0					5	50x50	soil	Soil	0			40	22	3	1	1	1	30	3	7	5	+	1	8	r	1	1	0	NA	NA	2	85
TMU	TMU04A2	16	0					5	50x50	soil	Soil	0			40	11	25	3.5	5	4.25	70	4	5	4.5	2m	10	20	1	20	30	2b	80	170	1	80
TMU	TMU04A3	16	0					4	50x50	soil	Soil	0			40	40	15	2	3	2.5	80	3	4	3.5	2m	10	20	1	15	25	2m	80	110	1	90
TMU	TMU04A4	16	0					5	50x50	soil	Soil	0			25	23	3	2.5	2	2.25	90	4	5	4.5	2m	10	15	r	5	5	0	NA	NA	1	85
TMU	TMU05	17	1		24.70067	121.44467		5	50x50	stump	CWD_D	15	60	6	26	14	60	3	3	3	30	3	3	3	0	NA	NA	+	3	5	0	NA	NA	1	85
TMU	TMU05A1	17	0					5	50x50	soil	Soil	0			29	30	1	1.5	1	1.25	85	4	4	4	2a	8	20	2m	30	40	0	NA	NA	1	90
TMU	TMU05A2	17	0					6	50x50	soil	Soil	0			40	20	0	NA	NA	0	70	4	6	5	2m	10	20	1	15	25	0	NA	NA	2	85
TMU	TMU05A3	17	0					5	50x50	soil	Soil	0			40	40	20	1	3	2	45	3	4	3.5	1	3	5	r	5	5	0	NA	NA	2	90
TMU	TMU05A4	17	0					5	50x50	soil	Soil	0			40	40	15	5	4	4.5	70	5	4	4.5	2a	10	20	r	2	5	0	NA	NA	2	90
TMU	TMU06	18	1		24.70098	121.44476		5	40x62.5	log	CWD_D	35	50	7	20	12	95	4.5	5	4.75	1	1	1	1	r	2	3	r	3	3	0	NA	NA	2	90
TMU	TMU06A1	18	0					5	50x50	soil	Soil	0			40	40	5	1	2	1.5	80	4	4	4	+	6	6	r	1	1	0	NA	NA	2	90
TMU	TMU06A2	18	0					5	40x62.5	log	CWD_D	30	40	6	15	10	30	3	4	3.5	40	2	3	2.5	2m	5	7	r	1	1	2a	100	150	2	85
TMU	TMU06A3	18	0					4	50x50	soil	Soil	0			40	40	1	1	1	1	80	5	4.5	4.75	0	NA	NA	1	20	30	2b	50	130	2	85
TMU	TMU06A4	18	0					4	50x50	soil	Soil	0			40	40	1	1	1	1	50	4	5	4.5	2m	10	15	r	6	6	2m	80	120	2	85
TMU	TMU07	19	1		24.70148	121.44471		4	50x50	log	CWD_D	60	95	6	17	10	90	3	2	2.5	5	2	3	2.5	0	NA	NA	2m	15	30	0	NA	NA	1	80
TMU	TMU07A1	19	0					6	40x62.5	log	CWD_D	30	20	6	8	21	90	6	7.5	6.75	5	5	4	4.5	1	6	12	2m	10	25	0	NA	NA	1	80
TMU	TMU07A2	19	0					5	50x50	soil	Soil	0			40	40	1	2	2	2	30	4	5	4.5	2m	5	25	r	10	10	0	NA	NA	2	90
TMU	TMU07A3	19	0					4	50x50	soil	Soil	0			22	40	2	3	2	2.5	40	4	4	4	1	20	30	2m	30	40	0	NA	NA	2	90
TMU	TMU07A4	19	0					5	50x50	soil	Soil	0			40	40	25	4	5	4.5	40	4	4	4	2m	12	20	r	6	6	1	80	110	1	80
TMU	TMU08	20	1		24.70173	121.4447		4	40x62.5	living_root	Mat	0			8	15	70	3	2	2.5	25	3	4	3.5	r	3	5	r	3	6	2m	110	200	1	80
TMU	TMU08A1	20	0					5	50x50	soil	Soil	0			40	25	1	1	2.5	1.75	90	5	6	5.5	r	3	5	r	5	6	2a	100	200	1	75
TMU	TMU08A2	20	0					5	50x50	soil	Soil	0			40	40	0	NA	NA	0	95	8	7	7.5	5	50	80	0	NA	NA	0	NA	NA	1	70
TMU	TMU08A3	20	0					5	50x50	soil	Soil	0			40	40	2	2	2	2	90	5	7	6	3	40	80	5b	20	40	3	130	160	1	75
TMU	TMU08A4	20	0					4	50x50	soil	Soil	0			40	13	1	4	3	3.5	85	4	4	4	4	40	60	r	3	6	4	110	200	1	60
TMU	TMU09	21	1		24.70216	121.44494		5	40x62.5	log	CWD_D	45	50	5	13	10	95	1	2	1.5	5	3	2	2.5	0	NA	NA	+	3	5	0	NA	NA	2	80
TMU	TMU09A1	21	0					5	40x62.5	log	CWD_halfD	55	40	4	4	5	45	7	6	6.5	40	3	10	6.5	2m	7	12	r	5	10	0	NA	NA	2	95
TMU	TMU09A2	21	0					5	50x50	soil	Soil	0			13	24	1	2	2	2	65	7	7	7	5	70	90	r	1	1	1	180	180	2	75
TMU	TMU09A3	21	0						25x100	branch	CWD_nonD	25	25	3	2	2	90	2.5	3	2.75	5	2.5	3	2.75	2m	15	30	0	NA	NA	2a	100	180	1	85
TMU	TMU09A4	21	0					5	50x50	soil	Soil	0			40	17	1	0.5	0.5	0.5	65	3	5	4	2m	20	60	0	NA	NA	0	NA	NA	1	90
TMU	TMU10	22	1		24.70211	121.44524		4	50x50	living_root	Mat	20	90		7	15	70	2.5	3	2.75	20	1	1	1	0	NA	NA	+	3	6	+	50	60	1	75
TMU	TMU10A1	22	0					4	50x50	soil	Soil	0			40	40	5	0.5	1	0.75	90	4.5	5	4.75	2b	30	60	r	3	8	2a	150	180	2	90
TMU	TMU10A2	22	0					5	50x50	soil	Soil	0			40	15	0	NA	NA	0	95	4.5	5	4.75	2a	30	60	2m	20	40	2b	50	110	2	70
TMU	TMU10A3	22	0					7	50x50	soil	Soil	0			40	40	1	4	3	3.5	70	3	3	3	2a	10	30	2m	10	15	2b	130	150	2	40
TMU	TMU10A4	22	0					4	40x62.5	soil	Soil	0			40	40	5	4	3.5	3.75	85	5.5	6	5.75	2m	20	70	+	8	10	1	130	160	2	70
TMM	TMM01	23	1		24.70374	121.44145		5	40x62.5	log	CWD_halfD	40	40	5	8	7	90	4	4	4	5	3	5	4	2b	7	10	1	6	40	0	NA	NA	2	60
TMM	TMM01A1	23	0					5	50x50	soil	Soil	0			16	18	2	1	1	1	85	3.5	4	3.75	2m	8	14	r	3	8	0	NA	NA	2	80
TMM	TMM01A2	23	0					3	50x50	living_root	Living	90	85		1	1	99	6	5	5.5	0	NA	NA	0	0	NA	NA	2a	15	30	2m	60	100	1	75
TMM	TMM01A3	23	0					4	50x50	soil	Soil	0			40	40	0	NA	NA	0	99	9	7	8	2a	8	15	+	10	15	0	NA	NA	2	85
TMM	TMM01A4	23	0					5	40x62.5	log	CWD_D	70	70	6	22	17	4	3	4	3.5	85	6	5	5.5	2m	10	20	1	30	50	1	50	70	2	80
TMM	TMM02	24	1		24.70384	121.43997		3	50x50	log	CWD_halfD	130	70	4	7	8	15	1	0.5	0.75	15	1	1	1	0	NA	NA	+	5	10	0	NA	NA	2	60
TMM	TMM02A1	24	0					5	50x50	soil	Soil	0			25	40	2	1	1	1	50	5	6	5.5	1	8	15	2m	30	50	2a	60	200	2	85
TMM	TMM02A2	24	0					5	40x62.5	soil	Soil	0			15	20	3	0.5	0.5	0.5	85	5	5	5	1	5	15	r	3	5	3	70	200	1	80
TMM	TMM02A3	24	0					5	40x62.5	soil	Soil	0			12	20	3	1	0.5	0.75	60	4	4	4	0	NA	NA	2m	40	50	2m	60	180	2	85
TMM	TMM02A4	24	0					5	50x50	soil	Soil	0			23	40	5	2	2	2	70	3.5	4	3.75	0	NA	NA	0	NA	NA	1	130	150	2	90
TMM	TMM03	25	1		24.70421	121.44059		4	50x50	log	CWD_halfD	20	50	5	8	5	90	2	3	2.5	10	4	4.5	4.25	1	10	10	+	5	20	0	NA	NA	2	90
TMM	TMM03A1	25	0					6	50x50	soil	Soil	0			21	25	1	2	2	2	75	4	5	4.5	2m	15	30	0	NA	NA	0	NA	NA	2	95
TMM	TMM03A2	25	0					5	50x50	soil	Soil	0			40	40	0	NA	NA	0	85	5.5	5	5.25	3	10	30	2m	20	40	0	NA	NA	2	95
TMM	TMM03A3	25	0					5	50x50	soil	Soil	0			40	40	5	1	1.5	1.25	85	7	7	7	0	NA	NA	2m	15	25	0	NA	NA	2	85
TMM	TMM03A4	25	0					5	50x50	soil	Soil	0			30	15	3	0.5	0.5	0.5	85	5	4	4.5	2a	20	35	+	15	25	0	NA	NA	1	90
TMM	TMM04	26	1		24.70407	121.44096		4	40x62.5	stump	CWD_D	20	80	7	40	40	65	2	1	1.5	35	1	1	1	r	2	3	1	15	20	+	130	160	2	80
TMM	TMM04A1	26	0					4	50x50	soil	Soil	0			40	40	2	1	2	1.5	90	5	6	5.5	2m	15	30	r	5	8	0	NA	NA	2	70
TMM	TMM04A2	26	0					3	50x50	soil	Soil	0			26	40	0	NA	NA	0	65	3	3.5	3.25	2a	15	35	0	NA	NA	2b	130	180	2	90
TMM	TMM04A3	26	0					5	50x50	soil	Soil	0			40	40	0	NA	NA	0	85	4.5	4.5	4.5	+	5	7	r	5	7	0	NA	NA	2	85
TMM	TMM04A4	26	0					4	50x50	soil	Soil	0			40	40	1	1	2	1.5	90	3	4	3.5	0	NA	NA	0	NA	NA	1	50	50	1	90
TMM	TMM05	27	1		24.70416	121.44115		6	40x62.5	log	CWD_halfD	70	60	5	3.5	4.5	96	2	2	2	2	1	1	1	0	NA	NA	+	3	5	0	NA	NA	1	85
TMM	TMM05A1	27	0					5	50x50	soil	Soil	0			40	40	0	NA	NA	0	95	5	6	5.5	+	10	15	1	12	30	1	50	110	1	90
TMM	TMM05A2	27	0					5	50x50	living_root	Mat	0			7	8	2	2	2	2	70	3	4	3.5	0	NA	NA	+	30	40	2a	100	130	1	90
TMM	TMM05A3	27	0					6	50x50	soil	Soil	0			40	28	1	1	1	1	80	5	4.5	4.75	0	NA	NA	+	5	12	2m	30	40	2	90
TMM	TMM05A4	27	0					5	40x62.5	soil	Soil	0			40	25	1	1	2	1.5	70	4.5	5	4.75	0	NA	NA	+	6	15	0	NA	NA	1	95
TMM	TMM06	28	1		24.70426	121.44144		5	40x62.5	log	CWD_halfD	20	55	5	8	5	90	2.5	2	2.25	5	1	1	1	0	NA	NA	1	3	10	0	NA	NA	1	85
TMM	TMM06A1	28	0					6	50x50	soil	Soil	0			40	25	2	1	2	1.5	90	6	3	4.5	2b	20	40	0	NA	NA	0	NA	NA	1	90
TMM	TMM06A2	28	0					7	50x50	soil	Soil	0			40	40	1	1	2	1.5	85	10	10	10	2m	15	25	r	3	8	0	NA	NA	1	90
TMM	TMM06A3	28	0					7	50x50	soil	Soil	0			40	40	1	0.5	1	0.75	95	8	9	8.5	1	15	30	r	5	8	4	80	130	2	75
TMM	TMM06A4	28	0					7	50x50	soil	Soil	0			25	40	0	NA	NA	0	95	6	4.5	5.25	2m	10	20	0	NA	NA	0	NA	NA	1	90
TMM	TMM07	29	1		24.70398	121.44127		5	50x50	log	CWD_D	25	75	6	11	40	85	1	1.5	1.25	10	3	2	2.5	0	NA	NA	1	3	5	0	NA	NA	2	90
TMM	TMM07A1	29	0					5	40x62.5	living_root	Mat	0			7	12	75	1	2	1.5	3	1	1	1	0	NA	NA	r	2	5	0	NA	NA	2	85
TMM	TMM07A2	29	0					4	50x50	soil	Soil	0			27	40	0	NA	NA	0	85	3.5	4	3.75	0	NA	NA	2b	30	50	0	NA	NA	1	90
TMM	TMM07A3	29	0					4	25x100	soil	Soil	0			40	40	1	2	2	2	90	4	5	4.5	0	NA	NA	0	NA	NA	0	NA	NA	2	90
