Releve Number	Plot_ID	Date	deg_lat	deg_lon	Elevation	Aspect	Aspect_fol	Slope	Northeaste	Windwardne	Wind speed	Topo	Soil_rockn	SVF	shallowest	deepest	median_soi	mean_soil	Cov_rock	soil_moist	pH	TN	TC	C_N_ratio	Ca_mg_kg_	Cu_mg_kg_	Fe_mg_kg_	K_mg_kg_	Mg_mg_kg_	Mn_mg_kg_	P_mg_kg_	Zn_mg_kg_	E3	E2	E1	E0	Eep	CoDeK	fog_freque	Group_Numb	Group number
20338   	02-1099   	2003     	24.72786  	121.44045 	1743 	50  	5   	33 	85  	2805  	2.892894745 	2 	3    	0.9925 																								1.04    	0.288558125 	2 	4
3       	HS03      	20191011 	24.72694  	121.43827 	1885 	132 	87  	10 	3   	30    	4.178125858 	1 	3    		10 	35 	4 	25.875    	0  	2.7506 	3.543 	0.2002 	3.409 	16.748394   	145.669     	0.462       	357.49      	48.272      	29.952      	17.704      	24.804      	2.476       	38 	10 	15 	30 	15  	1.04    	0.265959144 	4 	4
5       	HS05      	20191116 	24.723914 	121.44166 	1730 	100 	55  	26 	35  	910   	4.526960373 	2 	0    		10 	35 	5 	29.125    	0  	6.6933 	3.285 	0.6818 	10.86 	15.726585   	40.01       	0.395       	576.208     	132.15      	69.585      	2.87        	21.669      	6.86        	62 	5  	30 	3  	1   	1.04    	0.253299356 	4 	4
17      	HS17      	20200806 	24.72723  	121.43824 	1885 	40  	5   	7  	85  	595   	4.109813213 	2 	2.5  		35 	35 	5 	35        	0  	5.3177 	3.809 	0.391  	5.741 	14.363209   	49.921      	0.169       	542.849     	69.383      	36.798      	2.485       	4.286       	2.159       	70 	25 	30 	5  	15  	1.04    	0.268917859 	4 	4
1       	HS01      	20190902 	24.72465  	121.44108 	1750 	270 	135 	19 	-45 	-855  	4.465964317 	1 	0.1  		4  	35 	4 	21.625    	0  	9.1265 	3.172 	1.486  	29.07 	19.525969   	419.679     	1.386       	202.822     	194.954     	168         	16.271      	116.22      	17.908      	50 	3  	60 	30 		1.04    	0.260583371 	4 	4
8       	HS08      	20200707 	24.7234   	121.44098 	1740 	304 	101 	12 	-11 	-132  	4.612596035 	1 	1.25 		17 	35 	4 	28.375    	0  	6.0459 	3.427 	0.5636 	9.72  	16.978655   	71.708      	0.212       	558.554     	73.681      	59.471      	1.442       	7.837       	4.655       	60 	5  	40 	1  	5   	1.04    	0.240714759 	4 	4
15      	HS15      	20200730 	24.72798  	121.44049 	1775 	75  	30  	37 	60  	2220  	2.808107853 	3 	15   		7  	35 	4 	23        	5  	6.5334 	3.5   	0.4883 	7.195 	14.419012   	111.104     	0.522       	411.262     	101.473     	45.394      	14.648      	9.641       	2.525       	55 	15 	70 	5  	10  	1.04    	0.289714485 	4 	4
10      	HS10      	20200713 	24.72352  	121.44145 	1720 	254 	151 	7  	-61 	-427  	4.615252018 	1 	1.25 		17 	35 	4 	26.875    	5  	8.1214 	3.912 	0.7525 	13.93 	18.325495   	796.292     	0.497       	570.729     	107.894     	125.172     	62.256      	20.5        	5.071       	50 	5  	70 	3  	5   	1.04    	0.249424115 	4 	4
7       	HS07      	20200703 	24.7238   	121.44178 	1720 	100 	55  	35 	35  	1225  	4.546865463 	2 	5    		19 	35 	5 	33        	0  	6.2287 	3.619 	0.4922 	6.995 	13.908632   	25.197      	0.297       	551.476     	71.29       	38.147      	2.008       	6.129       	2.709       	50 	5  	45 	1  	2   	1.04    	0.251565844 	4 	4
11      	HS11      	20200716 	24.72387  	121.44094 	1748 	266 	139 	17 	-49 	-833  	4.591491222 	2 	9    		11 	35 	4 	26.375    	20 	8.7333 	3.637 	0.6563 	10.11 	15.187258   	87.237      	0.62        	441.577     	110.125     	46.701      	12.983      	13.233      	3.436       	60 	5  	70 	20 	15  	1.04    	0.245861515 	4 	4
20339   	02-1100   	2003     	24.72475  	121.44137 	1723 	36  	9   	2  	81  	162   	4.345452309 	3 	1    	0.9925 																								C2A03   	0.265140593 	4 	4
16      	HS16      	20200805 	24.7289   	121.43266 	1970 	130 	85  	29 	5   	145   	5.097638607 	1 	2.5  		10 	35 	4 	21.375    	0  	3.6919 	3.863 	0.2748 	4.124 	14.752151   	37.433      	0.166       	562.031     	53.629      	29.791      	1.327       	5.402       	2.074       	60 	10 	85 	5  	1   		0.22083582  	4 	4
9       	HS09      	20200708 	24.726    	121.44068 	1780 	169 	124 	20 	-34 	-680  	3.897404671 	3 	1    		13 	35 	5 	32.25     	0  	9.2712 	3.614 	0.8016 	11.28 	13.905895   	131.125     	0.612       	357.776     	145.691     	50.396      	18.478      	13.757      	2.907       	50 	25 	40 	5  	10  		0.275898218 	3 	4
19      	HS19      	20200814 	24.70004  	121.4316  	1782 	342 	63  	22 	27  	594   	3.757311821 	1 	15   		18 	35 	4 	26.375    	0  	13.166 	3.275 	1.076  	18.36 	16.959742   	137.893     	0.272       	480.707     	163.219     	132.959     	12.709      	21.196      	5.794       	70 	20 	40 	1  	10  	1.05    	0.122623786 	6 	5
23086   	02-0324   	2006     	24.69987  	121.43218 	1798 	300 	105 	25 	-15 	-375  	4.446406841 	1 	3    	0.977  																								C2A03   	0.123464555 	6 	5
23088   	02-0326   	2006     	24.69969  	121.46505 	1729 	120 	75  	19 	15  	285   	2.808653593 	1 	5    	0.9481 																								2.06    	0.257155687 	4 	6
2       	HS02      	20190903 	24.7252   	121.44136 	1750 	227 	178 	22 	-88 	-1936 	4.129227161 	2 	2    		6  	35 	4 	27.5      	1  	7.4332 	4.123 	0.8302 	11.29 	13.448753   	166.07      	1.01        	411.372     	134.71      	49.537      	84.668      	17.888      	2.589       	50 	5  	68 	30 		2.09    	0.271057427 	3 	7
12      	HS12      	20200717 	24.71985  	121.4409  	1740 	320 	85  	31 	5   	155   	4.379302025 	3 	5    		27 	35 	5 	33.25     	0  	14.732 	3.265 	1.71   	26.51 	15.474814   	144.528     	0.688       	540.651     	191.247     	103.052     	6.849       	45.457      	7.308       	70 	10 	60 	5  	20  	2.09    	0.20482713  	3 	7
20010   	02-0104   	2004     	24.70729  	121.4498  	2094 	318 	87  	15 	3   	45    	4.487836838 	1 	0    	0.9864 																								C2A03   	0.183379531 	5 	8
20009   	02-0103   	2004     	24.70621  	121.45006 	2110 	70  	25  	17 	65  	1105  	4.226437092 	1 	0    	0.9864 																								C2A03   	0.148486525 	5 	8
23      	L1W       	2016     	24.70672  	121.45071 	2076 	40  	5   	31 	85  	2635  	4.056990623 	2 	10   		0  	35 	4 	22.875    	5  	7.5458 	3.68  	1.0048 	14.71 	14.64174542 	133.3735832 	0.464378004 	520.5512679 	131.4249423 	103.0006098 	26.98321057 	21.87828248 	3.63111567  						C2A03   	0.187766537 	5 	8
20007   	02-0101   	2004     	24.71227  	121.45108 	1950 	90  	45  	30 	45  	1350  	3.965037346 	1 	0    	0.9864 																								C2A03   	0.266453058 	5 	8
20012   	02-0106   	2004     	24.7133   	121.44764 	1999 	282 	123 	13 	-33 	-429  	4.456107616 	1 	0    	0.9864 																									0.222742885 	5 	8
20011   	02-0105   	2004     	24.71322  	121.44745 	2016 	304 	101 	7  	-11 	-77   	4.44781971  	1 	0    	0.9864 																									0.222629994 	5 	8
13      	HS13      	20200723 	24.71722  	121.44387 	1870 	240 	165 	27 	-75 	-2025 	4.745884418 	1 	15   		28 	35 	5 	34.125    	3  	14.919 	3.515 	1.364  	19.67 	14.352983   	82.202      	0.942       	498.337     	129.882     	68.228      	24.351      	41.233      	2.218       	70 	30 	40 	5  	20  		0.248944461 	3 	9
25      	L2R       	2017     	24.7189   	121.44264 	1864 	315 	90  	18 	0   	0     	6.673902512 	1 	1    		12 	35 	4 	24.765625 	1  	13.982 	3.418 	2.218  	34.13 	15.39284934 	180.1461449 	0.39862799  	406.932229  	169.1662389 	107.9638373 	15.15012384 	51.09165668 	9.712638101 							0.23853521  	3 	9
26      	L2W       	2017     	24.7194   	121.44329 	1857 	10  	137 	33 	55  	1815  	6.346745968 	1 	2    		5  	35 	3 	17        	2  	9.5353 	3.902 	1.288  	16.1  	12.50184239 	472.986884  	0.844049569 	197.4710895 	145.3239284 	84.84341593 	83.78997921 	36.54221792 	3.83459483  							0.258413345 	3 	9
24      	L2L       	2017     	24.71812  	121.44269 	1870 	250 	155 	25 	-65 	-1625 	6.250952721 	2 	1    		15 	35 	4 	24.09375  	0  	14.2   	3.506 	1.86   	29.36 	15.78596664 	119.4080572 	0.377605863 	314.6123584 	130.3983235 	76.29966063 	15.50426463 	33.38584828 	3.967442595 							0.233032927 	3 	9
20337   	02-1098   	2003     	24.72166  	121.44178 	1700 	220 	175 	25 	-85 	-2125 	5.121330738 	3 	1    	0.9993 																									0.241947889 	2 	10
18      	HS18      	20200813 	24.69994  	121.44268 	1962 	274 	131 	40 	-41 	-1640 	6.153022766 	2 	17.5 		20 	35 	4 	27.75     	1  	10.161 	3.487 	0.7333 	11.75 	15.835352   	66.174      	0.353       	464.606     	93.56       	47.755      	3.382       	6.455       	3.624       	70 	15 	15 	1  	5   	C2A03   	0.148647979 	6 	10
23087   	02-0325   	2006     	24.70245  	121.43726 	1939 	160 	115 	22 	-25 	-550  	2.324953794 	1 	1    	0.9827 																								C2A03   	0.139109179 	4 	10
